hanzi,pinyin,translation,level,example_cn,example_en
我,wǒ,I / me,1,我是学生。,I am a student.
你,nǐ,you,1,你好吗？,How are you?
他,tā,he / him,1,他是老师。,He is a teacher.
她,tā,she / her,1,她是我朋友。,She is my friend.
喜欢,xǐhuan,to like,1,我喜欢喝茶。,I like drinking tea.
吃,chī,to eat,1,我吃米饭。,I eat rice.
喝,hē,to drink,1,你喝水吗？,Do you drink water?
大,dà,big,1,这个房间很大。,This room is big.
小,xiǎo,small,1,猫很小。,The cat is small.
好,hǎo,good,1,今天很好。,Today is good.

昨天,zuótiān,yesterday,2,昨天我去了北京。,I went to Beijing yesterday.
生病,shēngbìng,to get sick,2,他生病了。,He is sick.
颜色,yánsè,color,2,你喜欢什么颜色？,What color do you like?
旁边,pángbiān,beside,2,学校旁边有商店。,There is a shop beside the school.
正在,zhèngzài,currently doing,2,我正在学习。,I am studying.
早上,zǎoshang,morning,2,我早上跑步。,I run in the morning.
晚上,wǎnshang,evening,2,晚上我看电影。,I watch movies in the evening.
因为,yīnwèi,because,2,因为下雨，我不去。,Because it’s raining, I’m not going.
但是,dànshì,but,2,我想去，但是没时间。,I want to go, but I have no time.
跑步,pǎobù,to run,2,我每天跑步。,I run every day.

打算,dǎsuàn,plan,3,我打算周末去上海。,I plan to go to Shanghai this weekend.
最近,zuìjìn,recently,3,我最近很忙。,I’ve been busy recently.
同意,tóngyì,agree,3,我同意你的看法。,I agree with your opinion.
校长,xiàozhǎng,principal,3,校长很友好。,The principal is friendly.
一定,yídìng,definitely,3,你一定可以做到。,You can definitely do it.
比如,bǐrú,for example,3,我喜欢运动，比如篮球。,I like sports, for example basketball.
清楚,qīngchu,clear,3,他说得很清楚。,He spoke clearly.
电梯,diàntī,elevator,3,电梯坏了。,The elevator is broken.
检查,jiǎnchá,to check,3,请检查一下作业。,Please check the homework.
影响,yǐngxiǎng,influence,3,天气影响心情。,Weather influences mood.

安排,ānpái,arrange,4,我安排好了一切。,I arranged everything.
报名,bàomíng,sign up,4,我报名参加比赛。,I signed up for the competition.
材料,cáiliào,materials,4,请准备好材料。,Please prepare the materials.
基础,jīchǔ,basic,4,你的中文基础很好。,Your Chinese foundation is good.
能力,nénglì,ability,4,他的能力很强。,His ability is strong.
兴奋,xīngfèn,excited,4,孩子们很兴奋。,The children are excited.
方向,fāngxiàng,direction,4,你走错方向了。,You went the wrong direction.
减少,jiǎnshǎo,reduce,4,请减少垃圾。,Please reduce trash.
静静,jìngjìng,quietly,4,她静静地看书。,She reads quietly.
提供,tígōng,provide,4,我们提供午餐。,We provide lunch.

巨大,jùdà,huge,5,这个问题有巨大影响。,This issue has a huge impact.
观察,guānchá,observe,5,请仔细观察。,Please observe carefully.
状况,zhuàngkuàng,condition,5,他的身体状况很好。,His physical condition is good.
逐渐,zhújiàn,gradually,5,天气逐渐变暖。,The weather is gradually getting warmer.
可靠,kěkào,reliable,5,他是个可靠的人。,He is a reliable person.
权利,quánlì,right,5,每个人都有权利。,Everyone has rights.
命令,mìnglìng,order,5,他下达了命令。,He gave an order.
改善,gǎishàn,improve,5,我们需要改善环境。,We need to improve the environment.
资格,zīgé,qualification,5,你有比赛资格。,You have the qualifications for the competition.
显然,xiǎnrán,obviously,5,他显然很累。,He is obviously tired.

承受,chéngshòu,endure,6,我承受很大压力。,I bear a lot of pressure.
传播,chuánbō,spread,6,消息迅速传播。,The news spread quickly.
审查,shěnchá,review,6,文件正在审查。,The document is under review.
迹象,jìxiàng,sign,6,没有危险迹象。,There are no signs of danger.
途径,tújìng,way / channel,6,我们需要新的途径。,We need a new way.
敏感,mǐngǎn,sensitive,6,他对声音很敏感。,He is sensitive to sound.
意图,yìtú,intention,6,他的意图不明。,His intention is unclear.
辩论,biànlùn,debate,6,他们正在辩论。,They are debating.
指挥,zhǐhuī,command / conduct,6,他指挥乐队。,He conducts the orchestra.
封锁,fēngsuǒ,block,6,道路被封锁。,The road is blocked.
